Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem
Other,ST/SC,Secondary (9-12),Other,Below 1 lakh,Yes,No,60-70%,Above 90%,Hindi,9.99,B.tech,Reputed University,80%,Other,Frequently,2 or more days before due date,50%,5+ hours,No,5+ hours,Netflix and Chill,Practice by writing,Library (self),From friends after class,4,3am or later,Yes,Better than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,No,Yes,Above 90%,Below 60%,Hindi,5.19,M.sc.,NIT,90%,Hostel room,Once in a while,Missed some homeworks,80%,2 hours or less,Yes,2-4 hours,Sleeping all day,Summarizing and making short notes,Home (self),From YouTube/online platforms,2,3am or later,Yes,Almost same as you,Toxic Relationship
Female,General,Tertiary (graduation or above),Urban,1 - 2.5 lakh,Yes,No,70-80%,Above 90%,Hindi,8.24,M.tech,NIT,Didn't attend classes properly,Hostel room,Never,Missed some homeworks,100%,5+ hours,Yes,2-4 hours,Netflix and Chill,Summarizing and making short notes,Library (group study),From friends after class,2,1am,No,Worse than you,Toxic Relationship
Male,ST/SC,Primary (1-8),Other,Below 1 lakh,Yes,Yes,80-90%,80-90%,English,6.88,BCA,IIT,80%,Home,Never,Missed some homeworks,100%,2 hours or less,No,1-2 hours,Revising the week's study material,Revising the whole notes,Home (group study),Reading from books,4,2am,No,Almost same as you,Healthy Relationship
Female,ST/SC,Primary (1-8),Rural,5 - 10 lakh,No,No,Below 60%,Above 90%,Regional languages,7.03,M.tech,Reputed University,Didn't attend classes properly,PG room,Once in a while,2 or more days before due date,10%,3-5 hours,Yes,5+ hours,Going outside with friends,Practice by writing,Library (group study),From friends after class,3,3am or later,Yes,Almost same as you,Single
Male,OBC,Primary (1-8),Urban,5 - 10 lakh,No,No,70-80%,60-70%,Regional languages,8.2,M.sc.,NIT,80%,Hostel room,Frequently,Missed some homeworks,50%,2 hours or less,No,5+ hours,Going outside with friends,Revising the whole notes,Home (self),Reading from books,4,2am,No,Better than you,Healthy Relationship
Male,OBC,Primary (1-8),Other,2.5 - 5 lakh,Yes,Yes,Below 60%,70-80%,Hindi,8.09,Law,IIT,Didn't attend classes properly,Other,Once in a while,On the due date,80%,3-5 hours,No,1-2 hours,Going outside with friends,Summarizing and making short notes,Library (self),From YouTube/online platforms,4,1am,No,Better than you,Toxic Relationship
Female,ST/SC,Tertiary (graduation or above),Urban,5 - 10 lakh,No,Yes,70-80%,70-80%,Regional languages,5.9,B.sc.,Reputed University,80%,Other,Frequently,2 or more days before due date,80%,5+ hours,No,5+ hours,Going outside with friends,Revising the whole notes,Home (self),From Professor in class,More than 4,3am or later,No,Almost same as you,Toxic Relationship
Female,Other (PWD),Primary (1-8),Rural,2.5 - 5 lakh,No,No,Above 90%,Above 90%,English,8.22,BCA,NIT,Didn't attend classes properly,Hostel room,Once in a while,On the due date,10%,2 hours or less,Yes,2-4 hours,Going outside with friends,Summarizing and making short notes,Home (self),Reading from books,More than 4,3am or later,Yes,Almost same as you,Toxic Relationship
Other,OBC,Secondary (9-12),Urban,2.5 - 5 lakh,Yes,Yes,70-80%,Below 60%,Hindi,5.15,B.tech,NIT,70%,PG room,Once in a while,Missed some homeworks,50%,5+ hours,No,5+ hours,Netflix and Chill,Practice by writing,Library (group study),From friends after class,3,12am or before,Yes,Better than you,Toxic Relationship
Other,Other (PWD),Tertiary (graduation or above),Other,Below 1 lakh,No,Yes,Above 90%,Above 90%,English,5.01,Other,IIT,80%,Home,Once in a while,Missed some homeworks,100%,2 hours or less,No,0 hours,Sleeping all day,Summarizing and making short notes,Home (self),From friends after class,More than 4,2am,No,Better than you,Toxic Relationship
Female,ST/SC,Primary (1-8),Semi-Urban,2.5 - 5 lakh,No,No,80-90%,Above 90%,Regional languages,7.01,M.sc.,IIT,Didn't attend classes properly,Hostel room,Once in a while,Missed some homeworks,80%,5+ hours,No,1-2 hours,Revising the week's study material,Summarizing and making short notes,Home (group study),Reading from books,Alone,1am,Yes,Worse than you,Single
Male,Other (PWD),Secondary (9-12),Other,above 10 lakh,No,No,Below 60%,70-80%,Hindi,9.3,BCA,Regional and Private Colleges,70%,PG room,Frequently,On the due date,80%,2 hours or less,Yes,5+ hours,Sleeping all day,Revising the whole notes,Home (self),From YouTube/online platforms,4,12am or before,Yes,Worse than you,Toxic Relationship
Other,OBC,Primary (1-8),Rural,above 10 lakh,Yes,Yes,Below 60%,70-80%,English,9.21,BCA,Reputed University,70%,Hostel room,Once in a while,Missed some homeworks,80%,2 hours or less,No,0 hours,Sleeping all day,Practice by writing,Home (self),Reading from books,2,3am or later,Yes,Worse than you,Single
Female,General,Primary (1-8),Other,5 - 10 lakh,Yes,Yes,60-70%,Above 90%,Hindi,5.72,Law,Reputed University,70%,PG room,Frequently,2 or more days before due date,50%,3-5 hours,Yes,0 hours,Going outside with friends,Practice by writing,Library (self),From Professor in class,4,12am or before,Yes,Worse than you,Toxic Relationship
Female,OBC,Primary (1-8),Semi-Urban,above 10 lakh,No,No,60-70%,60-70%,Regional languages,9.69,M.sc.,Regional and Private Colleges,Didn't attend classes properly,Other,Once in a while,2 or more days before due date,10%,5+ hours,No,5+ hours,Revising the week's study material,Practice by writing,Library (self),From friends after class,2,12am or before,No,Almost same as you,Toxic Relationship
Other,OBC,Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,No,60-70%,60-70%,Regional languages,5.65,B.sc.,IIT,70%,PG room,Never,Missed some homeworks,50%,2 hours or less,No,5+ hours,Sleeping all day,Revising the whole notes,Library (self),From friends after class,Alone,1am,No,Almost same as you,Single
Male,General,Primary (1-8),Urban,above 10 lakh,No,Yes,Above 90%,60-70%,Regional languages,6.62,B.tech,IIT,Didn't attend classes properly,Home,Frequently,Missed some homeworks,50%,5+ hours,No,0 hours,Netflix and Chill,Practice by writing,Library (group study),From YouTube/online platforms,More than 4,1am,No,Worse than you,Healthy Relationship
Male,Other (PWD),Primary (1-8),Rural,5 - 10 lakh,Yes,No,Below 60%,Below 60%,Hindi,8.89,M.tech,IIT,90%,Home,Never,2 or more days before due date,50%,2 hours or less,Yes,1-2 hours,Netflix and Chill,Revising the whole notes,Home (self),From friends after class,3,1am,No,Almost same as you,Healthy Relationship
Male,Other (PWD),Secondary (9-12),Other,5 - 10 lakh,Yes,Yes,60-70%,80-90%,Regional languages,7.57,M.tech,Reputed University,70%,Home,Never,Missed some homeworks,10%,2 hours or less,No,0 hours,Sleeping all day,Revising the whole notes,Home (self),Reading from books,2,3am or later,Yes,Worse than you,Healthy Relationship
Female,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,No,Yes,70-80%,70-80%,English,7.48,MCA,Regional and Private Colleges,70%,Hostel room,Once in a while,Missed some homeworks,50%,5+ hours,Yes,0 hours,Sleeping all day,Summarizing and making short notes,Library (self),From friends after class,2,1am,Yes,Worse than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,No,70-80%,70-80%,Regional languages,9.97,BCA,IIT,80%,PG room,Never,2 or more days before due date,80%,3-5 hours,No,2-4 hours,Revising the week's study material,Revising the whole notes,Home (group study),Reading from books,More than 4,12am or before,No,Better than you,Toxic Relationship
Male,General,Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,Yes,80-90%,Below 60%,Hindi,5.13,M.tech,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Frequently,2 or more days before due date,100%,3-5 hours,Yes,5+ hours,Sleeping all day,Practice by writing,Library (self),From Professor in class,3,1am,Yes,Better than you,Single
Male,General,Primary (1-8),Urban,5 - 10 lakh,Yes,Yes,80-90%,60-70%,Hindi,6.61,B.sc.,IIT,80%,PG room,Once in a while,2 or more days before due date,10%,3-5 hours,Yes,2-4 hours,Sleeping all day,Revising the whole notes,Home (self),From YouTube/online platforms,4,12am or before,Yes,Better than you,Healthy Relationship
Female,OBC,Secondary (9-12),Semi-Urban,2.5 - 5 lakh,Yes,No,80-90%,Below 60%,English,7.25,MCA,Reputed University,90%,Hostel room,Once in a while,Missed some homeworks,10%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Library (self),From YouTube/online platforms,2,1am,Yes,Better than you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,No,Yes,Below 60%,60-70%,English,7.44,B.tech,IIT,80%,Other,Once in a while,Missed some homeworks,50%,2 hours or less,No,2-4 hours,Revising the week's study material,Summarizing and making short notes,Library (self),From YouTube/online platforms,More than 4,2am,No,Worse than you,Toxic Relationship
Male,ST/SC,Tertiary (graduation or above),Urban,above 10 lakh,Yes,Yes,Above 90%,80-90%,Hindi,6.41,M.tech,IIT,80%,Hostel room,Once in a while,On the due date,50%,3-5 hours,No,2-4 hours,Sleeping all day,Revising the whole notes,Library (group study),From Professor in class,3,1am,No,Almost same as you,Toxic Relationship
Male,ST/SC,Tertiary (graduation or above),Semi-Urban,Below 1 lakh,Yes,Yes,60-70%,Below 60%,Regional languages,8.76,M.tech,IIT,Didn't attend classes properly,Home,Once in a while,Missed some homeworks,10%,3-5 hours,No,5+ hours,Revising the week's study material,Summarizing and making short notes,Home (group study),From YouTube/online platforms,More than 4,3am or later,Yes,Almost same as you,Single
Other,OBC,Tertiary (graduation or above),Urban,above 10 lakh,Yes,Yes,70-80%,60-70%,Regional languages,6.04,BCA,Reputed University,Didn't attend classes properly,Home,Once in a while,2 or more days before due date,50%,2 hours or less,No,1-2 hours,Going outside with friends,Summarizing and making short notes,Library (self),From Professor in class,4,1am,Yes,Almost same as you,Healthy Relationship
Male,OBC,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,Yes,Yes,80-90%,60-70%,English,9.01,Other,NIT,90%,Home,Frequently,2 or more days before due date,80%,2 hours or less,No,0 hours,Revising the week's study material,Practice by writing,Library (group study),Reading from books,More than 4,1am,No,Worse than you,Healthy Relationship
Female,OBC,Tertiary (graduation or above),Other,1 - 2.5 lakh,Yes,No,80-90%,60-70%,Hindi,6.5,Law,NIT,70%,Hostel room,Never,On the due date,50%,3-5 hours,Yes,2-4 hours,Revising the week's study material,Practice by writing,Home (self),From YouTube/online platforms,More than 4,3am or later,Yes,Worse than you,Healthy Relationship
Other,ST/SC,Secondary (9-12),Rural,above 10 lakh,No,Yes,60-70%,80-90%,Regional languages,6.64,MCA,IIT,Didn't attend classes properly,PG room,Frequently,On the due date,100%,5+ hours,No,2-4 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From Professor in class,More than 4,2am,Yes,Worse than you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Other,Below 1 lakh,No,No,Above 90%,70-80%,Regional languages,8.25,Other,IIT,90%,PG room,Frequently,2 or more days before due date,50%,2 hours or less,No,5+ hours,Going outside with friends,Summarizing and making short notes,Home (group study),From Professor in class,3,12am or before,No,Better than you,Single
Female,Other (PWD),Secondary (9-12),Urban,2.5 - 5 lakh,Yes,No,Below 60%,70-80%,English,7.18,M.tech,Regional and Private Colleges,90%,Other,Never,Missed some homeworks,50%,2 hours or less,No,1-2 hours,Going outside with friends,Revising the whole notes,Home (self),From Professor in class,Alone,1am,Yes,Better than you,Healthy Relationship
Other,Other (PWD),Primary (1-8),Other,Below 1 lakh,No,No,70-80%,60-70%,Regional languages,7.05,B.sc.,IIT,70%,Other,Never,Missed some homeworks,10%,5+ hours,Yes,5+ hours,Netflix and Chill,Revising the whole notes,Home (self),From Professor in class,4,2am,No,Worse than you,Toxic Relationship
Male,ST/SC,Secondary (9-12),Other,5 - 10 lakh,No,No,Below 60%,Above 90%,Hindi,6.93,MCA,IIT,70%,Hostel room,Never,2 or more days before due date,80%,2 hours or less,Yes,2-4 hours,Netflix and Chill,Practice by writing,Home (self),From Professor in class,2,12am or before,No,Better than you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,Above 90%,60-70%,Hindi,8.34,M.sc.,NIT,70%,PG room,Never,On the due date,100%,2 hours or less,No,2-4 hours,Revising the week's study material,Practice by writing,Library (self),From friends after class,2,3am or later,Yes,Better than you,Healthy Relationship
Male,General,Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,No,Above 90%,70-80%,Hindi,9.27,MCA,Regional and Private Colleges,Didn't attend classes properly,Other,Frequently,On the due date,50%,3-5 hours,Yes,0 hours,Sleeping all day,Revising the whole notes,Home (self),From friends after class,More than 4,2am,No,Better than you,Healthy Relationship
Other,ST/SC,Primary (1-8),Semi-Urban,Below 1 lakh,Yes,No,60-70%,Above 90%,English,5.28,BCA,Reputed University,Didn't attend classes properly,Other,Never,2 or more days before due date,10%,2 hours or less,No,5+ hours,Going outside with friends,Summarizing and making short notes,Library (group study),From YouTube/online platforms,4,12am or before,Yes,Better than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Rural,1 - 2.5 lakh,No,Yes,80-90%,60-70%,Regional languages,7.71,Other,NIT,90%,PG room,Once in a while,Missed some homeworks,100%,3-5 hours,Yes,5+ hours,Netflix and Chill,Revising the whole notes,Home (group study),Reading from books,3,1am,Yes,Worse than you,Healthy Relationship
Female,OBC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,Yes,Yes,70-80%,Below 60%,Regional languages,7.7,BCA,Regional and Private Colleges,70%,Hostel room,Never,Missed some homeworks,80%,5+ hours,Yes,0 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,3,12am or before,Yes,Almost same as you,Toxic Relationship
Male,OBC,Secondary (9-12),Urban,1 - 2.5 lakh,No,No,Above 90%,70-80%,Regional languages,7.08,B.sc.,IIT,70%,Other,Once in a while,2 or more days before due date,100%,5+ hours,No,5+ hours,Sleeping all day,Revising the whole notes,Home (group study),From YouTube/online platforms,3,3am or later,Yes,Better than you,Toxic Relationship
Female,General,Primary (1-8),Other,2.5 - 5 lakh,Yes,No,Below 60%,70-80%,English,8.49,M.sc.,NIT,70%,Hostel room,Frequently,On the due date,50%,3-5 hours,Yes,5+ hours,Netflix and Chill,Revising the whole notes,Library (group study),From YouTube/online platforms,4,3am or later,Yes,Worse than you,Single
Female,OBC,Secondary (9-12),Other,Below 1 lakh,Yes,Yes,70-80%,Below 60%,Hindi,6.53,Law,IIT,Didn't attend classes properly,Hostel room,Never,Missed some homeworks,10%,5+ hours,No,0 hours,Revising the week's study material,Revising the whole notes,Library (group study),From Professor in class,3,2am,No,Better than you,Single
Male,Other (PWD),Primary (1-8),Other,5 - 10 lakh,Yes,Yes,80-90%,Above 90%,Regional languages,8.02,Other,Reputed University,80%,Other,Frequently,2 or more days before due date,10%,2 hours or less,No,5+ hours,Going outside with friends,Summarizing and making short notes,Home (self),From Professor in class,Alone,12am or before,No,Worse than you,Toxic Relationship
Male,OBC,Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,Below 60%,70-80%,Regional languages,9.79,M.tech,IIT,90%,Home,Once in a while,On the due date,10%,2 hours or less,Yes,0 hours,Sleeping all day,Practice by writing,Home (self),From Professor in class,2,2am,Yes,Better than you,Single
Male,Other (PWD),Primary (1-8),Other,5 - 10 lakh,No,Yes,Below 60%,Below 60%,Hindi,8.28,Other,Regional and Private Colleges,Didn't attend classes properly,Other,Frequently,2 or more days before due date,10%,2 hours or less,Yes,0 hours,Netflix and Chill,Practice by writing,Library (group study),From YouTube/online platforms,3,12am or before,No,Better than you,Toxic Relationship
Other,General,Tertiary (graduation or above),Other,1 - 2.5 lakh,Yes,Yes,70-80%,80-90%,Regional languages,6.91,MCA,NIT,Didn't attend classes properly,Hostel room,Never,On the due date,80%,5+ hours,No,0 hours,Going outside with friends,Practice by writing,Library (self),From Professor in class,More than 4,12am or before,No,Almost same as you,Healthy Relationship
Other,General,Primary (1-8),Semi-Urban,above 10 lakh,Yes,Yes,Above 90%,Below 60%,Regional languages,9.51,B.tech,Reputed University,90%,PG room,Once in a while,On the due date,10%,5+ hours,No,2-4 hours,Netflix and Chill,Practice by writing,Library (self),From friends after class,4,2am,No,Worse than you,Toxic Relationship
Male,Other (PWD),Secondary (9-12),Urban,1 - 2.5 lakh,No,Yes,60-70%,Below 60%,Regional languages,9.65,Law,Reputed University,Didn't attend classes properly,Other,Frequently,2 or more days before due date,100%,3-5 hours,No,0 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From Professor in class,Alone,3am or later,Yes,Worse than you,Healthy Relationship
Female,Other (PWD),Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,Yes,No,60-70%,60-70%,Regional languages,9.01,Law,IIT,90%,Other,Never,On the due date,10%,5+ hours,Yes,2-4 hours,Going outside with friends,Summarizing and making short notes,Library (group study),From Professor in class,More than 4,12am or before,No,Better than you,Toxic Relationship
Female,Other (PWD),Secondary (9-12),Rural,1 - 2.5 lakh,No,Yes,Below 60%,70-80%,Regional languages,9.48,M.sc.,IIT,Didn't attend classes properly,PG room,Once in a while,On the due date,80%,5+ hours,No,1-2 hours,Sleeping all day,Practice by writing,Home (group study),From YouTube/online platforms,3,2am,Yes,Worse than you,Single
Male,General,Primary (1-8),Rural,5 - 10 lakh,Yes,Yes,Above 90%,Above 90%,Hindi,7.35,Other,IIT,70%,Home,Never,2 or more days before due date,100%,3-5 hours,Yes,1-2 hours,Netflix and Chill,Practice by writing,Home (group study),From Professor in class,Alone,1am,Yes,Better than you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,Yes,No,60-70%,Above 90%,Hindi,5.29,M.tech,Regional and Private Colleges,Didn't attend classes properly,PG room,Never,2 or more days before due date,100%,5+ hours,Yes,0 hours,Revising the week's study material,Revising the whole notes,Library (self),From friends after class,3,3am or later,No,Better than you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Rural,5 - 10 lakh,Yes,No,80-90%,80-90%,Hindi,6.5,B.tech,Reputed University,70%,Hostel room,Once in a while,On the due date,50%,3-5 hours,No,5+ hours,Netflix and Chill,Practice by writing,Library (group study),Reading from books,Alone,3am or later,Yes,Worse than you,Toxic Relationship
Other,ST/SC,Secondary (9-12),Rural,above 10 lakh,Yes,Yes,Below 60%,60-70%,English,7.36,M.sc.,Regional and Private Colleges,Didn't attend classes properly,PG room,Never,Missed some homeworks,100%,3-5 hours,Yes,5+ hours,Revising the week's study material,Summarizing and making short notes,Library (group study),From Professor in class,Alone,12am or before,Yes,Almost same as you,Single
Female,OBC,Secondary (9-12),Rural,1 - 2.5 lakh,Yes,Yes,70-80%,80-90%,Hindi,5.51,M.tech,IIT,Didn't attend classes properly,PG room,Never,Missed some homeworks,80%,5+ hours,No,5+ hours,Sleeping all day,Summarizing and making short notes,Home (self),From Professor in class,2,3am or later,Yes,Almost same as you,Single
Other,OBC,Secondary (9-12),Other,2.5 - 5 lakh,No,Yes,Below 60%,Below 60%,Hindi,8.91,Other,IIT,80%,Home,Frequently,2 or more days before due date,10%,5+ hours,No,2-4 hours,Sleeping all day,Revising the whole notes,Home (group study),Reading from books,3,1am,No,Almost same as you,Toxic Relationship
Other,ST/SC,Primary (1-8),Semi-Urban,above 10 lakh,Yes,No,Below 60%,70-80%,Hindi,8.16,Other,IIT,Didn't attend classes properly,Other,Frequently,On the due date,10%,5+ hours,No,1-2 hours,Going outside with friends,Practice by writing,Library (group study),Reading from books,4,3am or later,Yes,Almost same as you,Toxic Relationship
Female,General,Primary (1-8),Rural,5 - 10 lakh,No,No,Below 60%,80-90%,English,9.85,M.sc.,Regional and Private Colleges,90%,PG room,Never,2 or more days before due date,10%,2 hours or less,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Home (self),From Professor in class,More than 4,1am,Yes,Almost same as you,Healthy Relationship
Male,ST/SC,Secondary (9-12),Urban,2.5 - 5 lakh,No,Yes,80-90%,70-80%,Hindi,6.45,B.sc.,IIT,80%,Hostel room,Frequently,Missed some homeworks,80%,3-5 hours,No,5+ hours,Netflix and Chill,Practice by writing,Home (group study),From YouTube/online platforms,3,2am,Yes,Worse than you,Single
Male,OBC,Secondary (9-12),Semi-Urban,above 10 lakh,Yes,No,Below 60%,Above 90%,English,7.12,B.sc.,Regional and Private Colleges,80%,Other,Once in a while,On the due date,10%,3-5 hours,Yes,2-4 hours,Going outside with friends,Revising the whole notes,Home (self),Reading from books,4,12am or before,No,Almost same as you,Single
Male,Other (PWD),Primary (1-8),Other,Below 1 lakh,No,No,Above 90%,80-90%,English,7.08,MCA,Reputed University,90%,Hostel room,Never,2 or more days before due date,10%,2 hours or less,No,5+ hours,Sleeping all day,Revising the whole notes,Home (group study),From Professor in class,Alone,1am,No,Worse than you,Healthy Relationship
Male,General,Primary (1-8),Other,5 - 10 lakh,Yes,No,60-70%,70-80%,English,9.41,BCA,Reputed University,90%,Hostel room,Never,2 or more days before due date,10%,3-5 hours,Yes,0 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From Professor in class,Alone,12am or before,Yes,Almost same as you,Single
Male,General,Primary (1-8),Urban,above 10 lakh,No,No,70-80%,Above 90%,English,6.11,Law,Regional and Private Colleges,70%,Other,Frequently,2 or more days before due date,80%,5+ hours,No,0 hours,Netflix and Chill,Summarizing and making short notes,Home (self),From YouTube/online platforms,4,2am,No,Almost same as you,Toxic Relationship
Other,Other (PWD),Secondary (9-12),Urban,1 - 2.5 lakh,No,No,Above 90%,70-80%,Hindi,7.15,Other,Regional and Private Colleges,Didn't attend classes properly,Other,Never,Missed some homeworks,10%,2 hours or less,Yes,1-2 hours,Netflix and Chill,Revising the whole notes,Home (self),Reading from books,4,12am or before,No,Worse than you,Single
Other,OBC,Secondary (9-12),Rural,above 10 lakh,Yes,No,80-90%,70-80%,Regional languages,5.11,MCA,Reputed University,70%,Other,Frequently,On the due date,50%,5+ hours,No,2-4 hours,Going outside with friends,Practice by writing,Home (self),Reading from books,2,12am or before,Yes,Worse than you,Toxic Relationship
Male,Other (PWD),Primary (1-8),Rural,2.5 - 5 lakh,No,No,Above 90%,80-90%,English,8.24,M.tech,Reputed University,80%,Hostel room,Once in a while,2 or more days before due date,100%,5+ hours,No,5+ hours,Going outside with friends,Summarizing and making short notes,Home (group study),From YouTube/online platforms,2,1am,No,Worse than you,Toxic Relationship
Male,Other (PWD),Tertiary (graduation or above),Rural,1 - 2.5 lakh,No,Yes,60-70%,70-80%,Regional languages,8.74,M.sc.,Regional and Private Colleges,90%,PG room,Frequently,On the due date,100%,3-5 hours,Yes,2-4 hours,Sleeping all day,Summarizing and making short notes,Home (group study),From YouTube/online platforms,Alone,12am or before,Yes,Worse than you,Toxic Relationship
Male,General,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,Yes,Below 60%,80-90%,Regional languages,7.46,BCA,Reputed University,Didn't attend classes properly,Hostel room,Once in a while,Missed some homeworks,80%,5+ hours,No,1-2 hours,Going outside with friends,Summarizing and making short notes,Library (self),From friends after class,3,3am or later,No,Better than you,Single
Other,General,Tertiary (graduation or above),Semi-Urban,Below 1 lakh,No,No,Above 90%,Below 60%,Hindi,9.93,Law,Regional and Private Colleges,Didn't attend classes properly,Home,Never,On the due date,100%,2 hours or less,No,2-4 hours,Sleeping all day,Revising the whole notes,Home (group study),Reading from books,4,2am,No,Better than you,Healthy Relationship
Other,General,Secondary (9-12),Rural,above 10 lakh,Yes,Yes,60-70%,60-70%,English,9.06,Other,Reputed University,70%,Home,Once in a while,Missed some homeworks,10%,2 hours or less,Yes,1-2 hours,Netflix and Chill,Practice by writing,Library (self),From Professor in class,4,2am,Yes,Worse than you,Toxic Relationship
Female,OBC,Primary (1-8),Rural,1 - 2.5 lakh,No,No,Below 60%,Above 90%,English,9.73,Law,Reputed University,Didn't attend classes properly,Home,Frequently,2 or more days before due date,100%,3-5 hours,No,2-4 hours,Netflix and Chill,Summarizing and making short notes,Library (self),From Professor in class,4,1am,Yes,Almost same as you,Healthy Relationship
Female,General,Tertiary (graduation or above),Urban,5 - 10 lakh,No,No,80-90%,Above 90%,English,5.54,B.tech,Reputed University,Didn't attend classes properly,PG room,Never,On the due date,100%,3-5 hours,No,0 hours,Going outside with friends,Revising the whole notes,Home (self),Reading from books,More than 4,1am,No,Worse than you,Single
Other,General,Tertiary (graduation or above),Other,1 - 2.5 lakh,Yes,Yes,60-70%,80-90%,English,8.86,M.tech,IIT,70%,PG room,Never,On the due date,10%,3-5 hours,No,1-2 hours,Sleeping all day,Practice by writing,Home (self),From friends after class,2,1am,No,Better than you,Toxic Relationship
Female,General,Primary (1-8),Urban,5 - 10 lakh,No,Yes,Below 60%,80-90%,Hindi,5.98,Other,IIT,80%,Hostel room,Never,On the due date,100%,5+ hours,Yes,2-4 hours,Going outside with friends,Summarizing and making short notes,Home (group study),Reading from books,More than 4,2am,No,Better than you,Toxic Relationship
Female,General,Primary (1-8),Urban,Below 1 lakh,Yes,Yes,Above 90%,60-70%,English,7,MCA,NIT,80%,Home,Never,On the due date,50%,5+ hours,Yes,1-2 hours,Netflix and Chill,Revising the whole notes,Library (group study),From YouTube/online platforms,2,1am,Yes,Better than you,Healthy Relationship
Female,General,Secondary (9-12),Rural,1 - 2.5 lakh,Yes,No,70-80%,Above 90%,English,9.29,Law,Regional and Private Colleges,80%,Home,Never,2 or more days before due date,50%,5+ hours,No,0 hours,Sleeping all day,Revising the whole notes,Home (self),From friends after class,Alone,1am,Yes,Better than you,Toxic Relationship
Other,OBC,Secondary (9-12),Urban,5 - 10 lakh,Yes,Yes,70-80%,80-90%,Regional languages,7.87,BCA,NIT,90%,Home,Never,Missed some homeworks,10%,3-5 hours,Yes,1-2 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From Professor in class,2,12am or before,No,Almost same as you,Single
Female,General,Primary (1-8),Semi-Urban,above 10 lakh,No,No,70-80%,70-80%,Regional languages,9.96,BCA,IIT,70%,Hostel room,Once in a while,2 or more days before due date,80%,3-5 hours,Yes,0 hours,Sleeping all day,Practice by writing,Home (self),From YouTube/online platforms,2,3am or later,No,Better than you,Toxic Relationship
Male,General,Primary (1-8),Other,1 - 2.5 lakh,No,No,70-80%,Below 60%,Hindi,5.91,M.tech,NIT,70%,Hostel room,Never,On the due date,80%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Home (group study),From friends after class,More than 4,3am or later,Yes,Worse than you,Healthy Relationship
Male,ST/SC,Secondary (9-12),Other,2.5 - 5 lakh,Yes,No,Below 60%,60-70%,Regional languages,8.76,M.tech,Reputed University,70%,Hostel room,Once in a while,On the due date,100%,2 hours or less,Yes,5+ hours,Sleeping all day,Practice by writing,Library (group study),From YouTube/online platforms,More than 4,12am or before,No,Almost same as you,Healthy Relationship
Male,OBC,Secondary (9-12),Other,above 10 lakh,Yes,Yes,80-90%,70-80%,Regional languages,7.04,Law,IIT,Didn't attend classes properly,Hostel room,Never,2 or more days before due date,100%,5+ hours,Yes,1-2 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From Professor in class,Alone,1am,Yes,Better than you,Toxic Relationship
Male,General,Secondary (9-12),Semi-Urban,Below 1 lakh,Yes,Yes,60-70%,Below 60%,Regional languages,9.94,Other,IIT,70%,Other,Never,2 or more days before due date,100%,5+ hours,Yes,2-4 hours,Going outside with friends,Practice by writing,Library (group study),From Professor in class,Alone,2am,Yes,Worse than you,Toxic Relationship
Other,OBC,Secondary (9-12),Rural,above 10 lakh,Yes,Yes,60-70%,Below 60%,Hindi,8.91,Law,NIT,90%,Home,Never,Missed some homeworks,50%,3-5 hours,Yes,1-2 hours,Netflix and Chill,Revising the whole notes,Home (group study),From YouTube/online platforms,4,12am or before,Yes,Almost same as you,Single
